snapshot_time_utc,year,week,game_id,start_date,home_team,away_team,provider,spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
2026-08-12T05:15:50+00:00,2026,1,401864495,2026-09-04T22:30:00.000Z,Eastern Michigan,San José State,DraftKings,-3.5,-3.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401864495,2026-09-04T22:30:00.000Z,Eastern Michigan,San José State,Bovada,-4.5,-3.5,53.5,53.5,-160,135
2026-08-12T05:15:50+00:00,2026,1,401858206,2026-09-05T01:00:00.000Z,Stanford,Miami,DraftKings,21.5,21.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858206,2026-09-05T01:00:00.000Z,Stanford,Miami,Bovada,23.5,21.5,49.5,48.5,-100000,-2500
2026-08-12T05:15:50+00:00,2026,1,401856636,2026-09-05T19:30:00.000Z,Auburn,Baylor,DraftKings,-6.5,-6.5,59.5,,-285,230
2026-08-12T05:15:50+00:00,2026,1,401856636,2026-09-05T19:30:00.000Z,Auburn,Baylor,Bovada,-7,-7.5,59,58.5,-270,220
2026-08-12T05:15:50+00:00,2026,1,401856664,2026-09-05T00:00:00.000Z,Oklahoma,UTEP,Bovada,-40.5,-40.5,50.5,50.5,,
2026-08-12T05:15:50+00:00,2026,1,401856664,2026-09-05T00:00:00.000Z,Oklahoma,UTEP,DraftKings,-40.5,-40.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401856634,2026-09-05T16:00:00.000Z,Alabama,East Carolina,DraftKings,-25.5,-25.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401856634,2026-09-05T16:00:00.000Z,Alabama,East Carolina,Bovada,-28.5,-25.5,54,53.5,-10000,1600
2026-08-12T05:15:50+00:00,2026,1,401856780,2026-09-05T16:00:00.000Z,West Virginia,Coastal Carolina,Bovada,-21.5,-17.5,58,57.5,-1725,-100000
2026-08-12T05:15:50+00:00,2026,1,401856780,2026-09-05T16:00:00.000Z,West Virginia,Coastal Carolina,DraftKings,-17.5,-17.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858207,2026-09-05T16:00:00.000Z,Pittsburgh,Miami (OH),Bovada,-16.5,-16.5,50.5,50.5,-800,525
2026-08-12T05:15:50+00:00,2026,1,401858207,2026-09-05T16:00:00.000Z,Pittsburgh,Miami (OH),DraftKings,-16.5,-16.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401869960,2026-09-05T16:00:00.000Z,James Madison,Liberty,DraftKings,-6,-6,,,,
2026-08-12T05:15:50+00:00,2026,1,401869960,2026-09-05T16:00:00.000Z,James Madison,Liberty,Bovada,-6.5,-6,51.5,50.5,-250,210
2026-08-12T05:15:50+00:00,2026,1,401856665,2026-09-05T16:45:00.000Z,South Carolina,Kent State,Bovada,-36.5,-34.5,53,52.5,-100000,-100000
2026-08-12T05:15:50+00:00,2026,1,401856665,2026-09-05T16:45:00.000Z,South Carolina,Kent State,DraftKings,-34.5,-33.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401856667,2026-09-05T19:30:00.000Z,Texas,Texas State,DraftKings,-30.5,-30.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401856667,2026-09-05T19:30:00.000Z,Texas,Texas State,Bovada,-30.5,-30.5,60,59.5,-10000,-100000
2026-08-12T05:15:50+00:00,2026,1,401860878,2026-09-05T22:00:00.000Z,Colorado State,Wyoming,DraftKings,-4,-4,,,,
2026-08-12T05:15:50+00:00,2026,1,401860878,2026-09-05T22:00:00.000Z,Colorado State,Wyoming,Bovada,-4,-4,48,47.5,-180,155
2026-08-12T05:15:50+00:00,2026,1,401856668,2026-09-05T23:00:00.000Z,Texas A&M,Missouri State,Bovada,-39.5,-38.5,52.5,52.5,,
2026-08-12T05:15:50+00:00,2026,1,401856668,2026-09-05T23:00:00.000Z,Texas A&M,Missouri State,DraftKings,-38.5,-38.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401862695,2026-09-05T23:00:00.000Z,Memphis,Arkansas State,Bovada,-10,-10.5,55.5,55.5,-440,330
2026-08-12T05:15:50+00:00,2026,1,401862695,2026-09-05T23:00:00.000Z,Memphis,Arkansas State,DraftKings,-10.5,-10.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401870763,2026-09-05T23:00:00.000Z,Troy,Sam Houston,Bovada,-16,-17,51.5,50.5,-1300,725
2026-08-12T05:15:50+00:00,2026,1,401870763,2026-09-05T23:00:00.000Z,Troy,Sam Houston,DraftKings,-16.5,-17.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401856660,2026-09-05T23:30:00.000Z,LSU,Clemson,Bovada,-9.5,-11.5,50.5,51.5,-480,350
2026-08-12T05:15:50+00:00,2026,1,401856660,2026-09-05T23:30:00.000Z,LSU,Clemson,DraftKings,-10.5,,50.5,,-455,350
2026-08-12T05:15:50+00:00,2026,1,401856662,2026-09-05T23:30:00.000Z,Mississippi State,UL Monroe,Bovada,-28.5,-28.5,55.5,55.5,-100000,2000
2026-08-12T05:15:50+00:00,2026,1,401856662,2026-09-05T23:30:00.000Z,Mississippi State,UL Monroe,DraftKings,-28.5,-28.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401856637,2026-09-05T23:45:00.000Z,Florida,Florida Atlantic,Bovada,-26.5,-25.5,58.5,56.5,-7000,1300
2026-08-12T05:15:50+00:00,2026,1,401856637,2026-09-05T23:45:00.000Z,Florida,Florida Atlantic,DraftKings,-25.5,-25.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401864497,2026-09-06T02:00:00.000Z,Hawai'i,UNLV,Bovada,2.5,1.5,58.5,58.5,105,-125
2026-08-12T05:15:50+00:00,2026,1,401864497,2026-09-06T02:00:00.000Z,Hawai'i,UNLV,DraftKings,1.5,1.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401864498,2026-09-06T02:00:00.000Z,New Mexico,Central Michigan,Bovada,-13,-12.5,49,49,-575,400
2026-08-12T05:15:50+00:00,2026,1,401864498,2026-09-06T02:00:00.000Z,New Mexico,Central Michigan,DraftKings,-12.5,-12.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401864432,2026-09-06T02:30:00.000Z,Nevada,Western Kentucky,Bovada,3,4,53,53.5,120,-140
2026-08-12T05:15:50+00:00,2026,1,401864432,2026-09-06T02:30:00.000Z,Nevada,Western Kentucky,DraftKings,4,4.5,,,,
