season,home,away,actual_margin,home_won,market_margin,sp_margin,fpi_margin,elo_margin,blend_margin
2023,Colorado State,Washington State,-26,False,-10.25,-29.2,-18.348999999999997,-5.873670697791173,-17.80755689926372
2023,Houston,UTSA,3,True,-1.5,-0.20000000000000018,3.225,2.276009852758666,1.7670032842528887
2023,UL Monroe,Army,4,True,-8.5,-11.7,-8.678999999999998,-7.149630783988371,-9.176210261329457
2023,Penn State,West Virginia,23,True,20.5,22.5,17.88,19.604371023372217,19.99479034112407
2023,Alabama,Middle Tennessee,49,True,39.5,39.7,36.358,25.5314114237721,33.86313714125736
2023,Wyoming,Texas Tech,2,True,-13.5,-16.8,-15.166,-4.02147057266621,-11.99582352422207
2023,North Carolina,South Carolina,14,True,-2.5,-4.8999999999999995,1.779,-0.8413901889496551,-1.3207967296498848
2023,Illinois,Toledo,2,True,9.0,22.1,15.703999999999999,10.343370397747396,16.049123465915798
2023,Tulane,South Alabama,20,True,6.25,4.1,13.443000000000001,9.520170342136302,9.021056780712101
2023,Virginia Tech,Old Dominion,19,True,16.0,6.0,6.846,3.428489930614199,5.4248299768714
2023,BYU,Sam Houston,14,True,20.0,,,4.04588997232252,4.04588997232252
2023,UCLA,Coastal Carolina,14,True,15.5,16.9,17.584,12.648330553458463,15.71077685115282
2023,Rutgers,Northwestern,17,True,6.5,6.800000000000001,2.292,1.2881697860253523,3.460056595341784
2023,San José State,Oregon State,-25,False,-15.25,-16.1,-15.527999999999999,-8.302110861843904,-13.310036953947966
2023,Florida State,LSU,21,True,-2.5,-3.0,-1.9329999999999998,0.22876988334476822,-1.568076705551744
2023,Duke,Clemson,21,True,-12.5,-10.100000000000001,-9.704,-5.297430658863407,-8.367143552954468
2024,Georgia Tech,Florida State,3,True,-10.5,-19.099999999999998,-16.866,-7.1800306171550865,-14.382010205718359
2024,Nevada,SMU,-5,False,-27.5,-29.6,-30.403,-15.916711376246532,-25.306570458748848
2024,Minnesota,North Carolina,-2,False,-1.5,-4.5,-8.301,1.1235297749031332,-3.892490075032289
2024,Jacksonville State,Coastal Carolina,-28,False,3.5,2.0999999999999996,1.617,7.050570175303017,3.589190058434339
2024,Michigan State,Florida Atlantic,6,True,12.0,5.1000000000000005,6.202999999999999,2.111369841636447,4.471456613878816
2024,Oklahoma,Temple,48,True,43.0,38.5,44.345,28.371451615630377,37.07215053854346
2024,Wisconsin,Western Michigan,14,True,24.0,27.8,22.086,14.541690681363981,21.47589689378799
2024,Stanford,TCU,-7,False,-8.5,-17.3,-16.78,-9.04299091189389,-14.374330303964628
2024,West Virginia,Penn State,-22,False,-7.5,-13.5,-17.186999999999998,-7.314270795110589,-12.667090265036862
2024,Vanderbilt,Virginia Tech,7,True,-13.5,-16.0,-10.703,-9.82503096472443,-12.17601032157481
