season,team,plays_pg
2023,Louisiana,63.46153846153846
2023,Louisiana Tech,65.91666666666667
2023,Louisville,66.21428571428571
2023,LSU,63.38461538461539
2023,Marshall,66.3076923076923
2023,Maryland,64.92307692307692
2023,Massachusetts,60.333333333333336
2023,Memphis,68.92307692307692
2023,Miami,66.84615384615384
2023,Miami (OH),56.42857142857143
2023,Michigan,61.13333333333333
2023,Michigan State,61.833333333333336
2023,Middle Tennessee,68.16666666666667
2023,Minnesota,62.46153846153846
2023,Mississippi State,61.666666666666664
2023,Missouri,66.38461538461539
2023,Navy,61.833333333333336
2023,NC State,65.23076923076923
2023,Nebraska,60.166666666666664
2023,Nevada,65.25
2023,New Mexico,65.41666666666667
2023,New Mexico State,60.666666666666664
2023,North Carolina,71.07692307692308
2023,Northern Illinois,63.30769230769231
2023,North Texas,73.91666666666667
2023,Northwestern,64.46153846153847
2023,Notre Dame,62.0
2023,Ohio,66.3076923076923
2023,Ohio State,63.53846153846154
2023,Oklahoma,72.23076923076923
2023,Oklahoma State,71.78571428571429
2023,Old Dominion,63.0
2023,Ole Miss,70.92307692307692
2023,Oregon,67.5
2023,Oregon State,63.07692307692308
2023,Penn State,70.0
2023,Pittsburgh,59.083333333333336
2023,Purdue,70.75
2023,Rice,61.76923076923077
2023,Rutgers,62.0
2023,Sam Houston,66.83333333333333
2023,San Diego State,63.25
2023,San José State,61.0
2023,SMU,70.42857142857143
2023,South Alabama,67.6923076923077
2023,South Carolina,64.41666666666667
2023,Southern Miss,69.66666666666667
2023,South Florida,78.3076923076923
2023,Stanford,69.0
2023,Syracuse,65.3076923076923
2023,TCU,71.66666666666667
2023,Temple,69.33333333333333
2023,Tennessee,69.0
2023,Texas,69.28571428571429
2023,Texas A&M,68.0
2023,Texas State,72.53846153846153
2023,Texas Tech,72.07692307692308
2023,Toledo,64.07142857142857
2023,Troy,66.71428571428571
2023,Tulane,63.42857142857143
2023,Tulsa,70.58333333333333
2023,UAB,69.75
2023,UCF,67.92307692307692
2023,UCLA,71.38461538461539
2023,UConn,63.916666666666664
2023,UL Monroe,62.75
2023,UNLV,66.78571428571429
2023,USC,62.92307692307692
2023,Utah,67.6923076923077
2023,Utah State,70.3076923076923
2023,UTEP,64.66666666666667
2023,UTSA,73.53846153846153
2023,Vanderbilt,60.916666666666664
2023,Virginia,70.33333333333333
2023,Virginia Tech,65.07692307692308
2023,Wake Forest,64.75
2023,Washington,65.2
2023,Washington State,70.25
2023,Western Kentucky,68.46153846153847
2023,Western Michigan,71.91666666666667
2023,West Virginia,69.15384615384616
2023,Wisconsin,70.23076923076923
2023,Wyoming,58.76923076923077
2024,Air Force,66.75
2024,Akron,64.0
2024,Alabama,64.92307692307692
2024,App State,70.27272727272727
2024,Arizona,63.75
2024,Arizona State,68.0
2024,Arkansas,69.15384615384616
2024,Arkansas State,70.76923076923077
2024,Army,59.42857142857143
2024,Auburn,64.0
2024,Ball State,67.0
2024,Baylor,69.61538461538461
2024,Boise State,68.71428571428571
2024,Boston College,66.0
2024,Bowling Green,64.92307692307692
2024,Buffalo,67.38461538461539
2024,BYU,64.15384615384616
2024,California,65.3076923076923
2024,Central Michigan,61.5
2024,Charlotte,60.916666666666664
2024,Cincinnati,68.08333333333333
2024,Clemson,71.28571428571429
2024,Coastal Carolina,63.15384615384615
2024,Colorado,62.23076923076923
2024,Colorado State,64.84615384615384
2024,Duke,64.6923076923077
2024,East Carolina,68.38461538461539
2024,Eastern Michigan,68.91666666666667
2024,Florida,61.53846153846154
2024,Florida Atlantic,66.58333333333333
2024,Florida International,60.666666666666664
2024,Florida State,60.25
2024,Fresno State,62.15384615384615
2024,Georgia,66.85714285714286
2024,Georgia Southern,67.46153846153847
2024,Georgia State,67.08333333333333
2024,Georgia Tech,68.76923076923077
2024,Hawai'i,67.5
2024,Houston,59.083333333333336
2024,Illinois,62.92307692307692
2024,Indiana,65.15384615384616
2024,Iowa,57.84615384615385
2024,Iowa State,70.42857142857143
2024,Jacksonville State,67.57142857142857
2024,James Madison,68.76923076923077
2024,Kansas,63.083333333333336
2024,Kansas State,64.53846153846153
2024,Kennesaw State,61.25
2024,Kent State,51.083333333333336
2024,Kentucky,62.0
2024,Liberty,68.08333333333333
2024,Louisiana,63.0
2024,Louisiana Tech,67.92307692307692
2024,Louisville,64.61538461538461
2024,LSU,69.6923076923077
2024,Marshall,62.38461538461539
2024,Maryland,71.33333333333333
2024,Massachusetts,66.16666666666667
2024,Memphis,70.76923076923077
2024,Miami,71.07692307692308
2024,Miami (OH),52.714285714285715
2024,Michigan,61.0
2024,Michigan State,61.666666666666664
2024,Middle Tennessee,62.5
2024,Minnesota,62.53846153846154
2024,Mississippi State,63.75
2024,Missouri,70.07692307692308
