blended_rank,team,conference,blended_score,source_disagreement,model_proj_margin_2026,sp_plus,fpi,steele_power_poll_rank,national_forecast_rank,record_2025_overall,head_coach,returning_starters_offense,returning_starters_defense,incoming_recruit_points,incoming_ret_percentPPA
121,Akron,MAC,-1.1504303911155396,0.4574258621991595,-0.7874423824138717,-19.5,-16.9,117,125,5-7,Joe Moorhead,4.0,2.0,147.36,0.918
122,Missouri State,CUSA,-1.1693665680207848,0.372901467479123,-2.778737505172714,-18.7,-10.3,133,128,7-6,Casey Woods,2.0,4.0,151.56,0.313
123,Rice,American,-1.169807661341193,0.12278916756934051,-6.123475569680961,-14.7,-13.4,113,120,5-8,Scott Abell,,,176.01,0.394
124,Coastal Carolina,Sun Belt East,-1.1719284031450015,0.17894882074179572,-6.53692654958985,-13.8,-12.1,118,119,6-7,Ryan Beard,,,165.03,0.154
125,New Mexico State,CUSA,-1.2363150431825614,0.09767626198605021,-5.244783114501928,-16.4,-15.7,116,129,4-8,Tony Sanchez,3.0,5.0,129.05,0.244
126,Northern Illinois,MWC,-1.2782484506810996,0.29893288369045934,-3.275549833645705,-18.2,-14.5,134,134,3-9,Rob Harley,,,184.9,0.437
127,UAB,American,-1.291567428359088,0.13921804309722494,-4.521908417862885,-18.1,-15.5,125,121,4-8,Alex Mortensen,2.0,0.0,135.31,0.796
128,San Jose State,MWC,-1.3635283095335056,0.20089213972860642,-7.288924527145536,-15.5,-14.3,131,116,3-9,Ken Niumatalolo,2.0,0.0,158.65,0.038
129,UTEP,MWC,-1.4150206333646431,0.100391471377434,-5.723651300211822,-20.5,-16.6,126,130,2-10,Scotty Walden,0.0,4.0,179.56,-0.011
130,Sacramento State,MAC,-1.4347669373600833,0.45111550966099784,,-22.7,-10.4,138,136,7-5,Alonzo Carter,,,,
131,Kent State,MAC,-1.4366660248886425,0.17595548316683218,-5.109327648262111,-20.1,-17.9,130,126,5-7,Mark Carney,6.0,3.0,162.2,0.641
132,Middle Tennessee,CUSA,-1.4592821426281255,0.33441120116318274,-4.816348115418041,-26.0,-16.1,124,133,3-9,Derek Mason,,,164.9,0.325
133,Georgia State,Sun Belt East,-1.5838524556868478,0.22379097488288094,-8.091639986917778,-25.1,-15.2,129,132,1-11,Dell McGee,3.0,2.0,184.01,0.465
134,ULM,Sun Belt West,-1.6117224907450745,0.19717050801823743,-7.848629810771858,-24.3,-19.3,123,131,3-9,Bryant Vincent,,2.0,160.28,0.387
135,Ball State,MAC,-1.7073152470044182,0.14926284022743763,-8.888283288857973,-25.2,-17.3,136,135,4-8,Mike Uremovich,5.0,1.0,170.02,0.057
136,Sam Houston,CUSA,-1.7425716273135343,0.1823646914702883,-9.27421258611902,-26.3,-18.4,132,137,2-10,Phil Longo,2.0,1.0,161.18,0.577
137,Charlotte,American,-1.754955619375774,0.5514289288465547,-10.365470654735075,-32.4,-14.6,122,127,1-11,Tim Albin «,,,176.53,0.409
138,UMass,MAC,-2.2310547271835506,0.7986530869015965,-18.694570723340398,-30.9,-18.8,135,138,0-12,Joe Harasymiak,,,166.97,-0.567
